"Date","home_sp_id","away_sp_id","game_id","home","away","G","home_score","home_rpg_before","away_score","away_rpg_before","home_rapg_before","away_rapg_before","home_slg_pct_before","away_slg_pct_before","home_hh_pg_before","home_bip_pg_before","home_hh_pct_before","away_hh_pg_before","away_bip_pg_before","away_hh_pct_before","home_hh_last_10","away_hh_last_10","a_ml","h_ml","total","o_price","u_price","h_imp_prob","a_imp_prob","h_nv_prob","a_nv_prob","o_imp_prob","u_imp_prob","o_nv_prob","u_nv_prob","h_cover","actual_total","tot_over","away_sp_hh_pct_before","home_sp_hh_pct_before","away_sp_hh_last_3","home_sp_hh_last_3","home_score_pred1"
2021-04-17,13074,2036,"2021-04-17-LAD-SDP-1","SDP","LAD",1,0,4.266666667,2,6.142857143,3.6,3.357142857,0.398422091,0.486921529,11.6,27.13333333,0.427518428,11.07142857,27.21428571,0.406824147,0.38342669,0.411758409,-116,106,7,-120,100,0.485436893203884,0.537037037037037,0.474767012484614,0.525232987515386,0.545454545454545,0.5,0.521739130434783,0.478260869565217,0,2,0,0.394366197183099,0.3,0.413398692810458,0.249287749287749,4.1350238997985
2021-04-18,12304,15440,"2021-04-18-DET-OAK-1","OAK","DET",1,3,4.6,2,3.666666667,5.266666667,5.533333333,0.387283237,0.370936902,10.73333333,25,0.429333333,9.733333333,24.46666667,0.397820163,0.438345386,0.359124647,140,-150,8.5,-120,100,0.6,0.416666666666667,0.590163934426229,0.409836065573771,0.545454545454545,0.5,0.521739130434783,0.478260869565217,1,5,0,0.363636363636364,0.363636363636364,0.396951975899344,0.288267288267288,5.7847479513972
2021-04-18,13125,12828,"2021-04-18-TBR-NYY-1","NYY","TBR",1,2,3.928571429,4,4.533333333,4.571428571,5.4,0.346232179,0.378277154,9.785714286,25.28571429,0.38700565,9.8,25.13333333,0.389920424,0.413915747,0.390195725,220,-250,7.5,-115,-105,0.714285714285714,0.3125,0.695652173913043,0.304347826086956,0.534883720930233,0.51219512195122,0.510834236186349,0.489165763813651,0,6,0,0.315789473684211,0.461538461538462,0.311111111111111,0.39957264957265,5.29523676550079
2021-04-18,13543,12703,"2021-04-18-LAD-SDP-1","SDP","LAD",1,5,4.3125,2,5.866666667,3.5,3.466666667,0.398510242,0.472380952,11.625,26.875,0.43255814,10.46666667,26.33333333,0.397468354,0.393292911,0.374319986,-125,115,7.5,-110,-110,0.465116279069767,0.555555555555556,0.455696202531646,0.544303797468354,0.523809523809524,0.523809523809524,0.5,0.5,1,7,0,0.423076923076923,0.314285714285714,0.384615384615385,0.333333333333333,4.24468592402826
2021-04-18,18679,14975,"2021-04-18-PIT-MIL-1","MIL","PIT",1,5,4.714285714,6,4.266666667,3.714285714,5.4,0.363829787,0.390715667,10.14285714,24,0.422619048,8.6,25.06666667,0.343085106,0.433785863,0.356885301,180,-200,7.5,-110,-110,0.666666666666667,0.357142857142857,0.651162790697674,0.348837209302326,0.523809523809524,0.523809523809524,0.5,0.5,0,11,1,0.363636363636364,0.310344827586207,0.362637362637363,0.218181818181818,5.43386352469836
2021-04-19,12917,27505,"2021-04-19-TEX-LAA-1","LAA","TEX",1,4,5.769230769,6,4.0625,5.692307692,4.6875,0.4218107,0.34751773,10.84615385,28.46153846,0.381081081,8.9375,24.375,0.366666667,0.337381233,0.353134743,200,-220,8.5,-115,-105,0.6875,0.333333333333333,0.673469387755102,0.326530612244898,0.534883720930233,0.51219512195122,0.510834236186349,0.489165763813651,0,10,1,0.457627118644068,0.303030303030303,0.492929292929293,0.25,5.05658037985636
2021-04-19,12970,16162,"2021-04-19-MIL-SDP-1","SDP","MIL",1,1,4.117647059,3,4.6,3.470588235,3.533333333,0.384341637,0.372,11.17647059,26.41176471,0.423162584,9.866666667,23.53333333,0.419263456,0.376845542,0.439450351,155,-165,6.5,-115,-105,0.622641509433962,0.392156862745098,0.61356179365658,0.38643820634342,0.534883720930233,0.51219512195122,0.510834236186349,0.489165763813651,0,4,0,0.407407407407407,0.365384615384615,0.376984126984127,0.309477124183007,4.13143111369989
2021-04-20,10310,17995,"2021-04-20-SFG-PHI-1","PHI","SFG",1,7,4.133333333,10,3.8125,4.666666667,3.25,0.390196078,0.412878788,9.733333333,24.6,0.395663957,10.3125,24.125,0.42746114,0.381938605,0.455271949,135,-145,8.5,-105,-115,0.591836734693878,0.425531914893617,0.581732821169441,0.418267178830559,0.51219512195122,0.534883720930233,0.489165763813651,0.510834236186349,0,17,1,0.375,0.421875,0.276190476190476,0.468686868686869,3.31268288472469
2021-04-20,15734,4806,"2021-04-20-TBR-KCR-1","KCR","TBR",1,7,5,14,5.058823529,5.5,5.235294118,0.38791423,0.392798691,9.928571429,27.57142857,0.360103627,10.70588235,25.76470588,0.415525114,0.328493721,0.423893666,-105,-105,8,-105,-115,0.51219512195122,0.51219512195122,0.5,0.5,0.51219512195122,0.534883720930233,0.489165763813651,0.510834236186349,0,21,1,0.415094339622641,0.34,0.45359477124183,0.348039215686274,5.20036677303061
2021-04-20,20099,19361,"2021-04-20-MIL-SDP-1","SDP","MIL",1,0,3.888888889,5,4.625,3.555555556,3.3125,0.373109244,0.378731343,10.94444444,26.05555556,0.420042644,10,23.5625,0.424403183,0.366390997,0.451355113,-112,102,6.5,-115,-105,0.495049504950495,0.528301886792453,0.483753194596568,0.516246805403432,0.534883720930233,0.51219512195122,0.510834236186349,0.489165763813651,0,5,0,0.261904761904762,0.350877192982456,0.274242424242424,0.404977375565611,3.83982296659879
2021-04-21,2429,19951,"2021-04-21-ATL-NYY-1","NYY","ATL",1,1,3.6875,4,5.125,4.3125,5.3125,0.333938294,0.423698384,9.5,25.125,0.378109453,10.75,26.25,0.40952381,0.394509097,0.357763484,130,-140,9,-105,-115,0.583333333333333,0.434782608695652,0.572953736654804,0.427046263345196,0.51219512195122,0.534883720930233,0.489165763813651,0.510834236186349,0,5,0,0.433333333333333,0.369565217391304,0.433918128654971,0.34961334961335,5.10447748676682
2021-04-21,3137,11682,"2021-04-21-STL-WSN-1","WSN","STL",1,1,3.857142857,0,4.941176471,5.285714286,4.941176471,0.39148073,0.407407407,11.35714286,27.14285714,0.418421053,10.41176471,24.52941176,0.424460432,0.420658689,0.391045382,149,-159,7.5,-115,-105,0.613899613899614,0.401606425702811,0.604525812707089,0.39547418729291,0.534883720930233,0.51219512195122,0.510834236186349,0.489165763813651,1,1,0,0.492957746478873,0.296296296296296,0.515098351940457,0.215811965811966,5.48644399959915
2021-04-21,9784,17948,"2021-04-21-TOR-BOS-1","BOS","TOR",1,3,6.4375,6,4.625,4.75,4,0.470404984,0.368866328,12.4375,30.875,0.402834008,11.5,27.5,0.418181818,0.410151037,0.407721313,118,-128,9.5,-115,-105,0.56140350877193,0.458715596330275,0.550331334805933,0.449668665194068,0.534883720930233,0.51219512195122,0.510834236186349,0.489165763813651,0,9,0,0.375,0.456140350877193,0.428571428571429,0.460504201680672,5.04681453686441
2021-04-21,13619,14078,"2021-04-21-TBR-KCR-1","KCR","TBR",1,9,5.266666667,8,5.222222222,5.666666667,5.444444444,0.402193784,0.400928793,10.33333333,28,0.369047619,10.88888889,25.94444444,0.419700214,0.346981116,0.431260437,-110,100,8,100,-120,0.5,0.523809523809524,0.488372093023256,0.511627906976744,0.5,0.545454545454545,0.478260869565217,0.521739130434783,1,17,1,0.555555555555556,0.522727272727273,0.483333333333333,0.536375661375661,5.54836052409644
2021-04-21,13774,13050,"2021-04-21-SFG-PHI-1","PHI","SFG",1,6,4.25,5,3.882352941,4.6875,3.411764706,0.398165138,0.416666667,9.8125,24.5,0.400510204,10.29411765,24.35294118,0.422705314,0.391669454,0.443160147,110,-120,8,-110,-110,0.545454545454545,0.476190476190476,0.533898305084746,0.466101694915254,0.523809523809524,0.523809523809524,0.5,0.5,1,11,1,0.483870967741935,0.474358974358974,0.430555555555556,0.457246376811594,3.49104821570775
2021-04-21,16358,11156,"2021-04-21-ARI-CIN-1","CIN","ARI",1,5,6.0625,8,4.941176471,4.9375,5.352941176,0.473394495,0.395939086,10.8125,25.5625,0.422982885,9.411764706,26.29411765,0.357941834,0.405865948,0.353125138,158,-168,8,-105,-115,0.626865671641791,0.387596899224806,0.617928832116788,0.382071167883212,0.51219512195122,0.534883720930233,0.489165763813651,0.510834236186349,0,13,1,0.447368421052632,0.333333333333333,0.415123456790123,0.22979797979798,5.65083993058503
2021-04-21,16561,18413,"2021-04-21-HOU-COL-1","COL","HOU",1,6,4.8125,3,4.8125,4.8125,4.875,0.414414414,0.402079723,8.875,26,0.341346154,11.5,29,0.396551724,0.324523075,0.338555035,-140,130,10,-105,-115,0.434782608695652,0.583333333333333,0.427046263345196,0.572953736654804,0.51219512195122,0.534883720930233,0.489165763813651,0.510834236186349,1,9,0,0.354838709677419,0.307692307692308,0.308934099955772,0.288492063492063,4.46259130459081
